cid	size	cluster
Motion	281	tour.v, hiss.v, zing.v, purl.v, trundle.v, tag along.v, whir.v, vault.v, whine.v, wheeze.v, ascend.v, waddle.v, bop.v, thunder.v, spring.v, shadow.v, climb.v, thump.v, conduct.v, thud.v, rain.v, hiss.v, wade.v, escort.v, stalk.v, swish.v, squelch.v, splutter.v, dog.v, stream.v, bang.v, follow.v, splash.v, screech.v, course.v, rustle.v, drop.v, waltz.v, rumble.v, plummet.v, wander.v, roar.v, fall.v, shepherd.v, putter.v, topple.v, walk.v, splatter.v, plunge.v, descend.v, purr.v, spout.v, rise.v, ping.v, dip.v, trail.v, angle.v, wriggle.v, hail.v, slant.v, slosh.v, sprint.v, amble.v, roll.v, slop.v, skim.v, buzz.v, parade.v, lurch.v, troop.v, march.v, goose-step.v, meander.v, zigzag.v, mince.v, accompany.v, mosey.v, straggle.v, chase.v, pace.v, show.v, pad.v, proceed.v, pump.v, parade.v, sidle.v, pelt.v, spill.v, plod.v, undulate.v, shower.v, pounce.v, splash.v, prance.v, usher.v, promenade.v, fly.v, hound.v, prowl.v, head.v, track.v, roam.v, romp.v, tail.v, run.v, rush.v, sashay.v, saunter.v, cut.v, scamper.v, repair.v, scoot.v, make.v, clack.v, cascade.v, gush.v, barge.v, ford.v, scramble.v, trickle.v, scurry.v, bubble.v, scuttle.v, flock.v, lead.v, shuffle.v, skip.v, stalk.v, guide.v, skulk.v, venture.v, bound.v, spray.v, slalom.v, pour.v, burrow.v, sleepwalk.v, flood.v, slink.v, chug.v, stream.v, back.v, lead the way.v, rush.v, pursue.v, slither.v, storm.v, bustle.v, crowd.v, clatter.v, make a beeline.v, throng.v, canter.v, slog.v, clank.v, drip.v, sneak.v, clang.v, hobble.v, crash.v, dribble.v, hitchhike.v, take to the air.v, ooze.v, spew.v, soar.v, rip.v, tramp.v, creak.v, clink.v, crunch.v, glide.v, squirt.v, jet.v, coast.v, clump.v, slip.v, fizz.v, flow.v, hurry.v, gurgle.v, tread.v, trek.v, hop.v, slouch.v, howl.v, gambol.v, clunk.v, trip.v, percolate.v, troop.v, run.v, commute.v, click.v, crackle.v, trot.v, caper.v, trudge.v, jog.v, press.v, clamber.v, meander.v, shrink.v, fly.v, snake.v, seep.v, stride.v, journey.v, climb.v, clomp.v, flee.v, slide.v, swarm.v, soak.v, roll.v, jump.v, walk.v, stroll.v, drive.v, crawl.v, strut.v, swerve.v, whisk.v, creep.v, bolt.v, sail.v, patter.v, stumble.v, coast.v, run away.v, dance.v, swagger.v, travel.v, dart.v, limp.v, leap.v, cruise.v, swing.v, tack.v, swim.v, spurt.v, taxi.v, dash.v, tiptoe.v, shoulder.v, toddle.v, voyage.v, come.v, lope.v, nance.v, totter.v, travel.v, swing.v, traipse.v, flit.v, weave.v, flounce.v, edge.v, stagger.v, teem.v, rove.v, frolic.v, lumber.v, gallivant.v, steal.v, float.v, drift.v, spiral.v, advance.v, circle.v, leak.v, hasten.v, wind.v, step.v, go.v, file.v, stomp.v, move.v, hike.v, lunge.v, blow.v
Forgiveness	4	forgive.v, pardon.v, excuse.v, condone.v
Causation	43	trigger.v, precipitate.v, see.v, generate.v, kindle.v, result (in).v, induce.v, bring about.v, call forth.v, wreak.v, put.v, produce.v, prompt.v, send.v, dictate.v, set off.v, engender.v, lead (to).v, motivate.v, cause.v, give rise.v, bring about.v, bring on.v, force.v, spark.v, stir up.v, incite.v, actuate.v, leave.v, make.v, excite.v, instigate.v, motivate.v, create.v, bring.v, render.v, provoke.v, stimulate.v, arouse.v, sway.v, elicit.v, mean.v, raise.v
Mention	6	indicate.v, mention.v, finger.v, name.v, identify.v, touch (on).v
Capacity	6	take.v, serve.v, feed.v, sleep.v, fit.v, seat.v
Operational_testing	5	flight-test.v, try out.v, crash-test.v, test.v, flight test.v
Separating	10	section.v, partition.v, split.v, part.v, separate.v, bisect.v, segregate.v, divide.v, segment.v, sever.v
Adding_up	3	total.v, tally.v, add up.v
Extradition	1	extradite.v
Burying	1	bury.v
Operate_vehicle	24	toboggan.v, taxi.v, tack.v, sledge.v, skate.v, row.v, raft.v, punt.v, pedal.v, parachute.v, paddle.v, bicycle.v, motor.v, cycle.v, caravan.v, canoe.v, boat.v, bike.v, fly.v, sail.v, balloon.v, ride.v, drive.v, cruise.v
Arriving	21	find.v, appear.v, hit.v, crest.v, descend (on).v, make it.v, get.v, make.v, reach.v, drop in.v, visit.v, pop in.v, return.v, set down.v, land.v, enter.v, come.v, touch down.v, arrive.v, approach.v, stop in.v
Cause_to_be_wet	12	moisturize.v, sop.v, humidify.v, hydrate.v, drench.v, saturate.v, douse.v, dampen.v, souse.v, soak.v, moisten.v, wet.v
Research	7	try.v, taste.v, test out.v, investigate.v, research.v, try out.v, try.v
Remainder	1	remain.v
Submitting_documents	4	submit.v, file.v, turn in.v, hand in.v
Misdeed	47	mug.v, perpetrate.v, snatch.v, abscond (with).v, carjack.v, make off (with).v, pirate.v, bag.v, cop.v, thieve.v, abstract.v, commit.v, smuggle.v, rustle.v, pilfer.v, filch.v, rape.v, rob.v, abuse.v, snitch.v, pickpocket.v, purloin.v, abduct.v, flog.v, steal.v, kidnap.v, shanghai.v, batter.v, nab.v, hijack.v, rifle.v, snatch.v, ransack.v, pinch.v, lift.v, rob blind.v, transgress.v, maltreat.v, stick up.v, sexually assault.v, swipe.v, shoplift.v, sin.v, hold up.v, misappropriate.v, embezzle.v, nick.v
Seeking_to_achieve	20	pan.v, pat down.v, listen.v, seek.v, feel.v, look.v, watch.v, sniff.v, nose.v, pursue.v, shop.v, fumble.v, search.v, seek.v, dig.v, palpate.v, forage.v, grope.v, rummage.v, hunt.v
Attaching	52	rivet.v, truss.v, detach.v, paste.v, chain.v, pin.v, yoke.v, tack on.v, gum.v, concatenate.v, append.v, attach.v, adhere.v, strap.v, fasten.v, plaster.v, affix.v, nail.v, hook.v, sew.v, untie.v, stick.v, cinch.v, staple.v, tether.v, fuse.v, tack.v, tie.v, bind.v, hitch.v, manacle.v, tape.v, anchor.v, moor.v, agglutinate.v, solder.v, weld.v, bond.v, fix.v, glue.v, bracket.v, secure.v, wire.v, lash.v, mount.v, join.v, handcuff.v, connect.v, link.v, fetter.v, shackle.v, cement.v
Institutionalization	4	admit.v, institutionalize.v, commit.v, hospitalize.v
Precipitation	7	drizzle.v, rain.v, shower.v, sleet.v, hail.v, snow.v, sprinkle.v
Reference_text	4	qv.v, refer.v, see.v, cf.v
Punctual_perception	2	get an eyeful.v, glimpse.v
Taking	26	snatch.v, abscond (with).v, make off (with).v, bag.v, cop.v, thieve.v, abstract.v, rustle.v, pilfer.v, seize.v, filch.v, take.v, snitch.v, pickpocket.v, purloin.v, flog.v, steal.v, grab.v, pinch.v, lift.v, swipe.v, shoplift.v, commandeer.v, misappropriate.v, embezzle.v, nick.v
Expensiveness	2	cost.v, set back.v
Cause_to_be_included	2	add.v, include.v
Manner_of_life	1	live.v
Waking_up	7	revive.v, come back around.v, awake.v, get up.v, come to.v, wake up.v, wake.v
Duration_relation	2	last.v, persist.v
Cause_temperature_change	10	warm.v, refrigerate.v, heat up.v, reheat.v, cool.v, warm up.v, heat.v, overheat.v, cool down.v, chill.v
Cause_bodily_experience	81	cudgel.v, electrocute.v, crack.v, pummel.v, clout.v, wound.v, knee.v, run through.v, slap.v, claw.v, twist.v, chop.v, butt.v, cut.v, squash.v, drug.v, smack.v, horsewhip.v, break.v, swipe.v, bludgeon.v, batter.v, flog.v, whip.v, buffet.v, hurt.v, sting.v, belt.v, stone.v, elbow.v, bash.v, spear.v, mutilate.v, slice.v, thwack.v, stab.v, welt.v, strike.v, smash.v, transfix.v, beat.v, pelt.v, punch.v, poison.v, cane.v, hurt.v, crush.v, scourge.v, chafe.v, hammer.v, boil.v, maul.v, knife.v, lash.v, massage.v, kick.v, cane.v, hit.v, knock.v, rub.v, burn.v, club.v, biff.v, tickle.v, impale.v, itch.v, maim.v, bruise.v, scratch.v, flog.v, jab.v, injure.v, torture.v, bayonet.v, beat up.v, spank.v, flagellate.v, paddle.v, gash.v, fracture.v, cuff.v
Breaking_out_captive	2	free.v, break out.v
Coming_to_be	14	materialize.v, come into the world.v, come to be.v, develop.v, form.v, arise.v, born.v, coalesce.v, emerge.v, take shape.v, come into existence.v, evolve.v, spring up.v, appear.v
Contingency	11	depends.v, turn.v, determine.v, require.v, hinge.v, hang (on).v, depend.v, take.v, dictate.v, demand.v, need.v
Placing	76	set.v, gag.v, disperse.v, rest.v, scatter.v, position.v, enclose.v, daub.v, strew.v, sit.v, embed.v, perch.v, plant.v, emplace.v, arrange.v, place.v, plunge.v, stable.v, package.v, shelve.v, put.v, pocket.v, pile.v, bestow.v, garage.v, park.v, file.v, pack.v, crate.v, stick.v, cage.v, shoulder.v, bury.v, box.v, lodge.v, warehouse.v, archive.v, load.v, bottle.v, lean.v, bin.v, sheathe.v, billet.v, pot.v, lay.v, shower.v, bag.v, insert.v, wrap.v, inject.v, cram.v, tuck.v, pass on.v, implant.v, disseminate.v, rub.v, immerse.v, jam.v, spread.v, hang.v, stuff.v, stow.v, distribute.v, heap.v, stash.v, deposit.v, dust.v, dissolve.v, brush.v, stand.v, sprinkle.v, smear.v, drape.v, situate.v, dab.v, drizzle.v
Success_or_failure	22	live [through].v, manage.v, founder.v, weather.v, miss.v, pull off.v, miss.v, hit.v, get there.v, close its doors.v, fail.v, ace.v, go bust.v, survive.v, go under.v, fold.v, collapse.v, fail.v, flop.v, ride out.v, succeed.v, close down.v
Body_movement	61	fidget.v, flutter.v, shudder.v, fling.v, wriggle.v, flex.v, writhe.v, kneel.v, flap.v, wrinkle.v, drop.v, wink.v, cross.v, wiggle.v, crane.v, reach.v, wave.v, cock.v, waggle.v, clap.v, wag.v, twitch.v, twist.v, toss.v, bob.v, throw.v, move.v, blink.v, scrunch.v, swing.v, bend.v, stretch.v, crumple.v, crinkle.v, shuffle.v, arch.v, stamp.v, shrug.v, twiddle.v, shake.v, shut.v, roll.v, purse.v, close.v, pucker.v, open.v, pout.v, smack.v, nod.v, crease.v, lift.v, duck.v, jerk.v, bat.v, curtsy.v, hang.v, shiver.v, grind.v, jiggle.v, gnash.v, yawn.v
Escaping	8	escape.v, fly the coop.v, get out.v, scarper.v, get loose.v, get free.v, evacuate.v, bust out.v
Distinctiveness	1	characterize.v
Process_resume	5	restart.v, restart.v, renew.v, resume.v, resume.v
Criminal_investigation	3	investigate.v, probe.v, inquire.v
Withdraw_from_participation	3	pull out.v, withdraw.v, beg off.v
Warning	2	warn.v, forewarn.v
Adjacency	4	abut.v, border.v, neighbor.v, adjoin.v
Absorb_heat	25	char.v, brown.v, broil.v, bake.v, braise.v, blanch.v, barbecue.v, singe.v, fry.v, boil.v, sizzle.v, cook.v, simmer.v, sear.v, stew.v, toast.v, scorch.v, steam.v, saute.v, roast.v, parboil.v, poach.v, grill.v, deep fry.v, coddle.v
Forgoing	7	forgo.v, refrain.v, forbear.v, go without.v, abstain.v, do without.v, skip.v
Existence	5	remain.v, appear.v, there be.v, occur.v, exist.v
Disembarking	8	get.v, deplane.v, debus.v, disembark.v, debark.v, alight.v, dismount.v, detrain.v
Losing_it	6	lose it.v, blow cool.v, go apeshit.v, go ballistic.v, freak out.v, flip out.v
Dressing	8	dress.v, dress up.v, don.v, pull on.v, get on.v, slip on.v, put on.v, throw on.v
Legal_rulings	10	find.v, pronounce.v, clear.v, deem.v, judge.v, convict.v, decree.v, acquit.v, rule.v, adjudicate.v
Process_end	20	come to a end.v, win.v, show.v, draw to a end.v, lose.v, come to a close.v, end.v, tie up.v, fold.v, conclude.v, pass.v, conclude.v, draw to a close.v, lose.v, win.v, complete.v, graduate.v, finish.v, tie.v, wrap up.v
Rewards_and_punishments	22	fine.v, hang.v, reward.v, get back (at).v, flog.v, execute.v, retaliate.v, recompense.v, guillotine.v, cane.v, get even.v, scourge.v, revenge.v, mulct.v, avenge.v, punish.v, ticket.v, put to death.v, amerce.v, discipline.v, spank.v, paddle.v
Attention	3	ignore.v, attend.v, keep an eye.v
Be_in_agreement_on_assessment	3	concur.v, agree.v, see eye to eye.v
Being_operational	1	work.v
Meet_with_response	1	meet.v
Memory	5	recollect.v, recall.v, remember.v, bethink oneself.v, retain.v
Protecting	7	guard.v, shelter.v, shield.v, secure.v, safeguard.v, insulate.v, protect.v
Manufacturing	4	produce.v, fabricate.v, manufacture.v, make.v
Fluidic_motion	28	ooze.v, spew.v, purl.v, pump.v, squirt.v, spill.v, jet.v, splash.v, spurt.v, hiss.v, percolate.v, stream.v, run.v, course.v, cascade.v, gush.v, trickle.v, bubble.v, splatter.v, spout.v, seep.v, leak.v, spray.v, soak.v, rush.v, flow.v, drip.v, dribble.v
Redirecting	3	divert.v, detour.v, redirect.v
Expansion	11	swell.v, enlarge.v, spread.v, dilate.v, grow.v, expand.v, shrink.v, stretch.v, contract.v, lengthen.v, inflate.v
Manipulate_into_shape	11	loop.v, roll (into).v, tie.v, braid.v, curl.v, knot.v, twist.v, mold.v, tangle.v, coil.v, wind.v
Certainty	6	believe.v, believe.v, trust.v, know.v, doubt.v, trust.v
Bond_maturation	2	mature.v, endow.v
Leadership	11	lead.v, chair.v, head.v, spearhead.v, preside.v, run.v, command.v, rule.v, reign.v, administer.v, govern.v
Activity_ongoing	11	keep.v, continue.v, hang on to.v, retain.v, carry on.v, keep up.v, maintain.v, hold on to.v, keep.v, keep on.v, proceed.v
Change_operational_state	9	deactivate.v, turn on.v, activate.v, cut.v, boot.v, kill.v, cut off.v, shut off.v, turn off.v
Besieging	4	invest.v, besiege.v, beleaguer.v, siege.v
Emotion_active	6	worry.v, lose sleep.v, obsess.v, fret.v, fuss.v, agonize.v
Have_associated	2	have got.v, have.v
Posing_as	3	impersonate.v, masquerade.v, pose.v
Scrutiny	65	assay.v, examine.v, certify.v, ransack.v, rummage.v, go [through].v, probe.v, monitor.v, make sure.v, double-check.v, ransack.v, rifle.v, comb.v, read.v, peruse.v, substantiate.v, frisk.v, verify.v, investigate.v, explore.v, check.v, rifle.v, scan.v, frisk.v, test out.v, scan.v, pry.v, patrol.v, scrutinize.v, scour.v, try out.v, skim.v, study.v, pat down.v, rummage.v, confirm.v, look.v, skim.v, search.v, scout.v, comb.v, taste.v, devour.v, pore.v, eyeball.v, survey.v, reconnoitre.v, double-check.v, sweep.v, try.v, sweep.v, analyse.v, try.v, check.v, police.v, sift.v, investigate.v, spy out the land.v, research.v, sift.v, peruse.v, scour.v, proof-read.v, identify.v, inspect.v
Moving_in_place	13	roll.v, judder.v, rotate.v, twirl.v, wave.v, swing.v, quiver.v, turn.v, flop.v, rock.v, shake.v, vibrate.v, spin.v
Commerce_buy	6	buy.v, rent.v, hire.v, charter.v, purchase.v, lease.v
Practice	3	run (through).v, practice.v, rehearse.v
Participation	3	engage.v, take part.v, participate.v
Losing_someone	1	lose.v
Categorization	24	define.v, class.v, count.v, conceive.v, interpret.v, pigeonhole.v, categorize.v, identify.v, view.v, regard.v, stereotype.v, classify.v, understand.v, typecast.v, consider.v, bracket.v, deem.v, read.v, construe.v, translate.v, see.v, perceive.v, peg.v, render.v
Delimitation_of_diversity	1	range.v
Deserving	5	call.v, deserve.v, merit.v, justify.v, warrant.v
Quarreling	8	argue.v, quibble.v, wrangle.v, quarrel.v, row.v, squabble.v, bicker.v, fight.v
Explosion	4	blow.v, blow up.v, detonate.v, explode.v
Agriculture	2	farm.v, cultivate.v
Cause_harm	74	cudgel.v, electrocute.v, crack.v, pummel.v, clout.v, wound.v, knee.v, run through.v, slap.v, claw.v, twist.v, chop.v, butt.v, cut.v, squash.v, drug.v, smack.v, horsewhip.v, break.v, swipe.v, bludgeon.v, batter.v, flog.v, whip.v, buffet.v, hurt.v, sting.v, belt.v, stone.v, elbow.v, bash.v, spear.v, mutilate.v, slice.v, thwack.v, stab.v, welt.v, strike.v, smash.v, transfix.v, beat.v, pelt.v, punch.v, poison.v, cane.v, crush.v, scourge.v, hammer.v, knife.v, boil.v, maul.v, flagellate.v, lash.v, kick.v, cane.v, club.v, hit.v, knock.v, biff.v, burn.v, impale.v, maim.v, flog.v, bruise.v, jab.v, injure.v, torture.v, bayonet.v, beat up.v, spank.v, paddle.v, gash.v, fracture.v, cuff.v
Forging	4	fake.v, falsify.v, counterfeit.v, forge.v
Becoming_detached	4	decouple.v, unhinge.v, detach.v, unhook.v
Confronting_problem	2	confront.v, face.v
Achieving_first	6	originate.v, find.v, pioneer.v, coin.v, discover.v, invent.v
Sleep	9	catnap.v, snooze.v, slumber.v, hibernate.v, nap.v, drowse.v, sleep.v, doze.v, kip.v
Experiencer_obj	132	rattle.v, puzzle.v, let down.v, kill.v, wound.v, encourage.v, agonize.v, demolish.v, destroy.v, stagger.v, engage.v, harass.v, worry.v, appeal.v, grate.v, arouse.v, devastate.v, crush.v, fulfill.v, boggle.v, outrage.v, flummox.v, fluster.v, stir.v, perturb.v, mystify.v, intimidate.v, offend.v, intrigue.v, interest.v, please.v, traumatize.v, placate.v, perplex.v, pacify.v, beguile.v, mollify.v, torment.v, irritate.v, repel.v, irk.v, sober.v, infuriate.v, revolt.v, impress.v, petrify.v, incense.v, madden.v, humiliate.v, mortify.v, hearten.v, gratify.v, nonplus.v, gladden.v, rankle.v, gall.v, floor.v, frustrate.v, flabbergast.v, frighten.v, embitter.v, fascinate.v, faze.v, excite.v, exhilarate.v, aggravate.v, exasperate.v, abash.v, enthrall.v, nettle.v, entertain.v, solace.v, sting.v, enrage.v, enchant.v, trouble.v, tickle.v, embarrass.v, stupefy.v, disturb.v, distress.v, displease.v, sicken.v, dishearten.v, discourage.v, disconcert.v, vex.v, wow.v, discomfit.v, bore.v, disappoint.v, depress.v, delight.v, upset.v, dazzle.v, unsettle.v, console.v, unnerve.v, confuse.v, conciliate.v, thrill.v, comfort.v, terrify.v, surprise.v, stun.v, cheer.v, stimulate.v, charm.v, startle.v, captivate.v, spook.v, calm.v, soothe.v, bewitch.v, shock.v, bewilder.v, baffle.v, shame.v, astound.v, shake.v, astonish.v, scare.v, antagonize.v, satisfy.v, annoy.v, sadden.v, anger.v, rile.v, amaze.v, reassure.v, aggrieve.v, alarm.v
Sign_agreement	2	sign.v, accede.v
Replacing	6	switch.v, substitute.v, replace.v, change.v, swap out.v, exchange.v
Change_of_leadership	15	vest.v, throne.v, topple.v, coronate.v, enthrone.v, dethrone.v, overthrow.v, mutiny.v, revolt.v, take over.v, depose.v, install.v, elect.v, crown.v, oust.v
Coincidence	2	chance.v, happen.v
Medical_intervention	7	treat.v, attempt.v, result.v, prevent.v, indicate.v, develop.v, consist.v
Appeal	1	appeal.v
Create_representation	6	sketch.v, paint.v, cast.v, draw.v, photograph.v, carve.v
Change_resistance	3	buttress.v, bulwark.v, brace.v
Take_place_of	5	do duty.v, substitute.v, replace.v, take place.v, succeed.v
Motion_noise	38	crash.v, hiss.v, patter.v, zing.v, creak.v, whir.v, clink.v, whine.v, crunch.v, wheeze.v, clump.v, thunder.v, fizz.v, thump.v, gurgle.v, thud.v, howl.v, swish.v, clunk.v, squelch.v, splutter.v, bang.v, splash.v, click.v, screech.v, crackle.v, clack.v, rustle.v, rumble.v, roar.v, putter.v, purr.v, ping.v, chug.v, clatter.v, buzz.v, clank.v, clang.v
Come_into_effect	5	come into effect.v, take effect.v, apply.v, go into effect.v, kick in.v
Notification_of_charges	3	accuse.v, charge.v, indict.v
Attack	23	besiege.v, counter-attack.v, jump.v, invade.v, hit.v, lay (into).v, invest.v, overrun.v, ambush.v, strike.v, attack.v, set (upon).v, beleaguer.v, siege.v, charge.v, bomb.v, storm.v, infiltrate.v, fall (upon).v, bombard.v, raid.v, assault.v, assail.v
Reliance	3	count.v, depend.v, rely.v
Getting_up	2	rise.v, get up.v
Reveal_secret	14	come forward.v, reveal.v, expose.v, come clean.v, confide.v, fess up.v, disclose.v, divulge.v, confess.v, spill beans.v, let slip.v, leak.v, admit.v, let on.v
Execution	4	put to death.v, guillotine.v, execute.v, hang.v
Reliance_on_expectation	2	count (on).v, bank (on).v
Cause_to_make_progress	5	advance.v, mature.v, improve.v, perfect.v, develop.v
Building	12	piece together.v, fit together.v, assemble.v, make.v, glue.v, weld.v, construct.v, put together.v, raise.v, erect.v, build.v, fashion.v
Planting	2	plant.v, sow.v
Explaining_the_facts	2	explain.v, account.v
Transfer	1	transfer.v
Finish_game	7	win.v, lose.v, show.v, fold.v, lose.v, win.v, tie.v
Catastrophe	3	suffer.v, befall.v, betide.v
Cause_to_wake	5	get up.v, wake.v, awaken.v, rouse.v, wake up.v
Surviving	4	weather.v, ride out.v, survive.v, live [through].v
Activity_stop	9	halt.v, halt.v, abandon.v, stop.v, quit.v, discontinue.v, terminate.v, cease.v, stop.v
Carry_goods	2	stock.v, carry.v
Education_teaching	11	teach.v, tutor.v, train.v, educate.v, master.v, cram.v, instruct.v, coach.v, learn.v, school.v, study.v
Reparation	1	make up.v
Communicate_categorization	11	define.v, make out to be.v, cast.v, treat.v, describe.v, characterize.v, redefine.v, represent.v, paint.v, portray.v, depict.v
Grooming	19	shampoo.v, bathe.v, brush [hair].v, manicure.v, soap.v, lave.v, plait.v, cleanse.v, shower.v, wash.v, pluck.v, groom.v, floss.v, moisturize.v, brush [teeth].v, comb.v, shave.v, wax.v, file.v
Improvement_or_decline	7	shape up.v, look up.v, ameliorate.v, worsen.v, decline.v, improve.v, deteriorate.v
Cause_change_of_position_on_a_scale	21	move.v, lower.v, raise.v, push.v, swell.v, reduce.v, increase.v, cut.v, add.v, curtail.v, knock down.v, promote.v, decrease.v, diminish.v, lift.v, enhance.v, double.v, drop.v, slash.v, step up.v, crank.v
Growing_food	2	raise.v, grow.v
Familiarity	1	know.v
Meet_with	1	meet with.v
Suasion	6	persuade.v, convince.v, dissuade.v, motivate.v, incite.v, sway.v
Fining	4	ticket.v, mulct.v, amerce.v, fine.v
Eclipse	17	cloak.v, befog.v, blot out.v, hide.v, cover.v, veil.v, occlude.v, becloud.v, mask.v, obstruct.v, obscure.v, eclipse.v, enshroud.v, conceal.v, screen.v, block.v, shroud.v
Rope_manipulation	4	braid.v, tie.v, tangle.v, knot.v
Cause_to_be_dry	8	dehydrate.v, anhydrate.v, dry off.v, dry out.v, dehumidify.v, desiccate.v, dry.v, dry up.v
Affirm_or_deny	7	reaffirm.v, confirm.v, affirm.v, concede.v, deny.v, attest.v, refute.v
Proliferating_in_number	3	dwindle.v, multiply.v, proliferate.v
Residence	21	lodge.v, overnight.v, board.v, guest.v, sleep over.v, bivouac.v, stay.v, shack up.v, quarter.v, room.v, occupy.v, room.v, inhabit.v, stay over.v, lodge.v, stay.v, reside.v, squat.v, camp.v, dwell.v, live.v
Ingest_substance	44	slurp.v, put away.v, use.v, do.v, sniff.v, put back.v, shoot.v, snort.v, inject.v, smoke.v, pop.v, tuck.v, pull.v, consume.v, devour.v, drink.v, gobble.v, eat.v, drag.v, nibble.v, nurse.v, ingest.v, dine.v, lunch.v, breakfast.v, snack.v, feed.v, have.v, feast.v, nosh.v, imbibe.v, munch.v, quaff.v, sup.v, sip.v, swill.v, down.v, gulp.v, have.v, guzzle.v, puff.v, swig.v, take.v, lap.v
Limiting	1	limit.v
Evaluative_comparison	6	stack up.v, equal.v, match.v, compare.v, measure up.v, rival.v
Lending	2	lend.v, loan.v
Path_shape	35	meander.v, emerge.v, exit.v, leave.v, undulate.v, reach.v, zigzag.v, rise.v, skirt.v, wind.v, weave.v, veer.v, bear.v, traverse.v, swing.v, run.v, swerve.v, drop.v, twist.v, angle.v, snake.v, ford.v, slant.v, pass.v, crisscross.v, enter.v, round.v, crest.v, cross.v, descend.v, dip.v, dive.v, bend.v, edge.v, ascend.v
Estimating	3	guess.v, estimate.v, put (at).v
Cause_to_fragment	25	fracture.v, shiver.v, chip.v, rip.v, splinter.v, cleave.v, break up.v, dissect.v, break down.v, rip up.v, fragment.v, dissolve.v, tear up.v, take apart.v, tear.v, split.v, break apart.v, break.v, shred.v, rend.v, sliver.v, rive.v, snap.v, smash.v, shatter.v
Using	53	toboggan.v, try.v, run out.v, taxi.v, tack.v, manage.v, squander.v, sledge.v, eat up.v, shoot.v, skate.v, exercise.v, row.v, blow up.v, raft.v, exhaust.v, operate.v, punt.v, run.v, pedal.v, deplete.v, blow.v, parachute.v, consume.v, go through.v, paddle.v, use.v, bicycle.v, motor.v, employ.v, cycle.v, use up.v, caravan.v, canoe.v, fire.v, explode.v, boat.v, expend.v, bike.v, fly.v, sail.v, balloon.v, detonate.v, utilise.v, ride.v, avail oneself.v, drive.v, spend.v, devour.v, cruise.v, discharge.v, operate.v, apply.v
Being_in_category	3	amount.v, count.v, constitute.v
Becoming_silent	12	quiet down.v, seal (one's) lips.v, quieten.v, shut up.v, silence.v, hush up.v, quiet.v, pipe down.v, stow it.v, shush.v, button (one's) lip.v, hush.v
Awareness	24	apprehend.v, await.v, presume.v, anticipate.v, wait.v, reckon.v, suspect.v, imagine.v, think.v, understand.v, understand.v, fathom.v, foresee.v, predict.v, comprehend.v, grasp.v, believe.v, comprehend.v, see.v, know.v, follow.v, get.v, conceive.v, expect.v
Summarizing	4	sum up.v, summarize.v, boil down.v, outline.v
Protest	2	demonstrate.v, protest.v
Cooking_creation	12	cook up.v, grill.v, put together.v, bake.v, prepare.v, fix.v, cook.v, make.v, fry.v, whip up.v, concoct.v, roast.v
Delivery	1	deliver.v
Imitating	4	copy.v, imitate.v, ape.v, mimic.v
Frugality	4	squander.v, waste.v, husband.v, scrimp.v
Membership	1	belong.v
Change_of_phase	11	evaporate.v, condense.v, melt.v, thaw.v, sublime.v, defrost.v, liquefy.v, freeze.v, solidify.v, unfreeze.v, vaporize.v
Cause_to_resume	4	restart.v, resume.v, revive.v, reinstate.v
Telling	17	persuade.v, convince.v, dissuade.v, inform.v, advise.v, motivate.v, confide.v, assure.v, notify.v, incite.v, warn.v, let know.v, forewarn.v, tell.v, apprise.v, brief.v, sway.v
Change_tool	5	transfer.v, swap.v, trade.v, switch.v, change.v
Rejuvenation	11	invigorate.v, breathe fresh life.v, breathe new life.v, restore.v, rejuvenate.v, renew.v, resuscitate.v, revitalize.v, reawaken.v, refresh.v, reinvigorate.v
Encoding	9	cast.v, misword.v, put.v, word.v, frame.v, phrase.v, express.v, formulate.v, couch.v
Importance	1	count.v
Reading_activity	9	read.v, read out.v, skim.v, scan.v, devour.v, pore.v, peruse.v, read.v, read.v
Breathing	14	sigh.v, exhale.v, blow.v, gasp.v, expire.v, inspire.v, insufflate.v, pant.v, breathe.v, respire.v, inhale.v, suspire.v, huff.v, puff.v
Cause_change_of_consistency	12	inspissate.v, clot.v, thicken.v, jell.v, curdle.v, set.v, coagulate.v, soften.v, harden.v, congeal.v, thin.v, indurate.v
Collaboration	7	work together.v, collude.v, conspire.v, team up.v, partner.v, cooperate.v, collaborate.v
Immobilization	5	handcuff.v, lock up.v, straitjacket.v, tie up.v, shackle.v
Duplication	12	fake.v, replicate.v, reproduce.v, falsify.v, counterfeit.v, copy.v, run off.v, clone.v, duplicate.v, photocopy.v, forge.v, reduplicate.v
Suitability	3	become.v, suit.v, fit.v
Dunking	2	dunk.v, dip.v
Abounding_with	7	hum.v, crawl.v, bustle.v, throng.v, swarm.v, teem.v, buzz.v
Interrupt_process	1	interrupt.v
Change_position_on_a_scale	44	mushroom.v, plummet.v, diminish.v, soar.v, double.v, climb.v, swell.v, move.v, dwindle.v, balloon.v, tumble.v, contract.v, fluctuate.v, triple.v, decrease.v, decline.v, rise.v, grow.v, shift.v, multiply.v, increase.v, dwindle.v, drop.v, advance.v, cool.v, gain.v, proliferate.v, chill.v, fall.v, explode.v, heat.v, refrigerate.v, rocket.v, lower.v, reheat.v, edge.v, reach.v, warm.v, slide.v, skyrocket.v, cool off.v, dip.v, jump.v, swing.v
