cid	size	cluster
Leadership	106	commissioner.n,supervisor.n,congresswoman.n,president [non-political].n,caliph.n,vice-president [non-political].n,suzerain.n,satrap.n,rector.n,headmaster.n,doyen.n,doyenne.n,empress.n,maharaja.n,tsar.n,tsarina.n,bishop.n,sheik.n,vizier.n,duchess.n,boss.n,khan.n,captain.n,khedive.n,ruler.n,chairman.n,kaiser.n,director.n,pasha.n,overlord.n,baron.n,dictator.n,shah.n,official.n,prime minister.n,commander.n,authority.n,emperor.n,government.n,drug lord.n,chairperson.n,presidential.a,command.v,power [govt].n,general.n,regime.n,govern.v,director general.n,commandant.n,command.n,imam.n,power [rule].n,chieftain.n,charge.n,head.n,rule.n,head.v,high-priest.n,governor.n,diplomat.n,chief.n,congressman.n,legislature.n,leader.n,vice-president [political].n,leadership.n,senate.n,mogul.n,minister.n,prince.n,monarch.n,administration.n,mayor.n,major general.a,representative.n,premier.n,crown prince.n,lead.v,viceroy.n,executive.n,vice-principal.n,legislator.n,president [political].n,secretary.n,principal.n,administer.v,queen.n,lawmaker.n,spearhead.v,preside.v,vice-captain.n,CEO.n,king.n,sultan.n,chief executive officer.n,rule.v,officer.n,vice-chairman.n,state.n,sovereign.n,despot.n,reign.v,run.v,tyrant.n,chair.v,superintendent.n
Mathematical_relationship	3	function.n,formula.n,equation.n
Chemical-sense_description	41	delectable.a,odor.n,unpalatable.a,insipid.a,stench.n,flavourless.a,toothsome.a,tart.a,pungent.a,flavoursome.a,delicious.a,yummy.a,bland.a,scrumptious.a,reek.n,salty.a,scent.n,tasty.a,palatable.a,smell.v,flavourful.a,savory.a,malodorous.a,sour.a,fragrant.a,spicy.a,aromatic.a,bitter.a,smelly.a,bouquet.n,ambrosial.a,sweet.a,tasteless.a,sapid.a,aroma.n,hot.a,piquant.a,stink.v,stink.n,reek.v,fragrance.n
Silencing	7	quiet.v,hush up.v,quiet down.v,hush.v,silence.v,shut up.v,shush.v
Being_operational	10	functional.a,down.a,operational.a,function.n,in order.a,busted.a,downed.a,working.a,broken.a,work.v
Preserving	11	cure.v,embalming.n,mummification.n,mummify.v,dry.v,salt.v,preservation.n,can.v,pickle.v,preserve.v,embalm.v
Scrutinizing_for	0	
Entering_of_plea	2	plead.v,plea.n
Institutions	2	institution.n,institutional.a
Recording	4	document.v,register.v,chronicle.v,record.v
Have_associated	3	have.v,with.prep,have got.v
Being_attached	31	adhere.v,manacled.a,fused.a,pinned.a,plastered.a,bolted.a,chained.a,shackled.a,handcuffed.a,stapled.a,linked.a,anchored.a,lashed.a,stick.v,adhesion.n,riveted.a,welded.a,sewn.a,tethered.a,nailed.a,taped.a,moored.a,tied.a,connected.a,affixed.a,glued.a,fastened.a,bound.a,stuck.a,attached.a,pasted.a
Reporting	13	inform.v,snitch.n,fink.v,tell (on).v,fink.n,rat.v,informer.n,report.v,squeal.n,snitch.v,peach.v,nark.n,rat out.v
Container_focused_removing	0	
Temperature	10	cold.a,tepid.a,scalding.a,frigid.a,temperature.n,freezing.a,lukewarm.a,warm.a,cool.a,hot.a
Visiting	5	visit.v,visitor.n,revisit.v,call.n,visit.n
Project	4	scheme.n,program.n,plan.n,project.n
Container_focused_placing	0	
Volubility	27	effusive.a,garrulous.a,talkative.a,chatty.a,glib.a,loudmouth.n,silent.a,laconic.a,reticence.n,taciturn.a,gushing.a,expansive.a,mute.a,loquacious.a,gushy.a,quiet.a,chatterbox.n,voluble.a,curt.a,reticent.a,loquacity.n,big mouth.n,terse.a,reserved.a,uncommunicative.a,mum.a,brusque.a
Arrest	11	summons.v,arrest.n,bust.n,apprehend.v,arrest.v,apprehension.n,bust.v,book.v,nab.v,collar.v,cop.v
Adducing	4	adduce.v,point.v,cite.v,name.v
People_by_religion	10	pagan.n,infidel.n,baptist.n,christian.n,zealot.n,buddhist.n,jew.n,faithful.n,mormon.n,muslim.n
Specific_individual	3	particular.a,certain.a,specific.a
Scrutiny	49	double-check.v,spy out the land.v,once-over.n,frisk.v,analyse.v,comb.v,ransack.v,scour.v,investigate.v,monitor.v,analytic.a,study.n,go [through].v,monitoring.n,analysis.n,survey.n,unmonitored.a,look.v,investigation.n,surveillance.n,sweep.n,surveillance [entity].n,scan.v,explore.v,rifle.v,pry.v,survey.v,examination.n,analyst.n,reconnaissance.n,study.v,probe.v,reconnoitre.v,inspector.n,assay.v,skim.v,search.v,sift.v,rummage.v,perusal.n,surveyor.n,scrutinize.v,scout.v,peruse.v,eyeball.v,scrutiny.n,check.v,sweep.v,search.n
Attempt_action_scenario	0	
Identity_scenario	0	
Experiencer_focus	78	love.v,unfazed.a,dread.v,fazed.a,hate.v,luxuriate.v,calm.a,scared.a,comfort.n,like.v,solace.n,regret.v,terrified.a,pleasure.n,enjoyment.n,irritated.a,dislike.n,upset.a,rue.v,antipathy.n,hatred.n,taken.a,enjoy.v,fed up.a,fear.v,intimidated.a,pity.v,afraid.a,feverish.a,happily.adv,loathe.v,feverishly.adv,envy.v,empathy.n,cool.a,savour.v,easy.a,envy.n,discomfort.n,empathize.v,worked up.a,despise.v,resent.v,rueful.a,regret.n,detest.v,mourn.v,dissatisfied.a,loathing.n,pity.n,dread.n,detestation.n,desperation.n,delight.v,abhor.v,resentment.n,relish.n,dislike.v,abominate.v,relish.v,abhorrence.n,nettled.a,worried.a,compassion.n,nervous.a,adoration.n,apprehensive.a,empathetic.a,fond.a,interested.a,agape.a,despair.v,fulfilled.a,fulfillment.n,satisfaction.n,satisfied.a,grieve.v,adore.v
Motion_scenario	0	
Connecting_architecture	11	gate.n,escalator.n,elevator.n,corridor.n,stairs.n,door.n,lift.n,step.n,staircase.n,window.n,hallway.n
Negative_conditional	2	unless.scon,otherwise.adv
Precariousness	8	balanced.a,unstable.a,teeter.v,instability.n,unsteady.a,stable.a,steady.a,stability.n
Summarizing	5	outline.v,summarize.v,synopsis.n,sum up.v,boil down.v
Used_up	6	worn out.a,exhausted.a,spent.a,through.a,depleted.a,used up.a
Dunking	2	dunk.v,dip.v
Being_questionable	5	questionable.a,suspect.a,suspicious.a,fishy.a,dubious.a
Subversion	5	sabotage.v,subversion.n,undercut.v,undermine.v,subvert.v
State	0	
Immobilization	5	tie up.v,handcuff.v,lock up.v,shackle.v,straitjacket.v
Notability	2	notable.a,great.a
Identity	1	identity.n
Board_vehicle	10	embarkation.n,get.v,embus.v,emplane.v,board.v,entrain.v,mount.v,hop.v,embark.v,embarkment.n
Interior_profile_relation	10	in.prep,outside.prep,between.prep,amid.prep,among.prep,inside.prep,within.prep,outside the wire.adv,in between.prep,in among.prep
Actually_occurring_entity	2	actual.a,true.a
Representative	4	representative.n,spokesperson.n,spokesman.n,spokeswoman.n
Taking_time	11	quick.a,rapid.a,slow.a,take.v,speedy.a,swift.a,quickly.adv,fast.a,slowly.adv,in.prep,gradually.adv
Communication_means	11	telex.v,cable.v,fax.v,telegraph.v,semaphore.v,call.v,phone.v,radio.v,telephone.v,wire.v,pdf.v
Biological_mechanisms	5	inhibit.v,impair.v,increase.v,catalyze.v,stimulate.v
Change_of_temperature	7	warm.v,reheat.v,heat.v,chill.v,cool off.v,refrigerate.v,cool.v
Commitment	18	swear.v,threat.n,pledge.n,pledge.v,undertaking.n,consent.v,oath.n,promise.v,covenant.n,threaten.v,undertake.v,vow.n,vow.v,covenant.v,commitment.n,promise.n,volunteer.v,commit.v
Prevent_or_allow_possession	5	allow.v,deprive.v,starve.v,deny.v,permit.v
Shooting_scenario	0	
Rashness	6	patient.a,rash.a,precipitate.a,impetuous.a,precipitous.a,impatient.a
Cause_to_be_sharp	3	sharpen.v,dull.v,blunt.v
Escaping	9	get free.v,get loose.v,escape.v,get out.v,evacuate.v,evacuation.n,bust out.v,fly the coop.v,scarper.v
Planting	2	plant.v,sow.v
Rope_manipulation	4	tangle.v,knot.v,braid.v,tie.v
Posing_as	5	pose.v,impersonation.n,masquerade.v,impostor.n,impersonate.v
Subjective_influence	20	influence.v,spur.v,motivate.v,influential.a,impact.v,stimulate.v,influence.n,coax.v,inspiration.n,encourage.v,goad.v,entice.v,discourage.v,impact.n,tempt.v,drive.v,inspire.v,galvanize.v,push.v,effect.n
Means	16	process.n,by.prep,how.adv,way.n,means.n,recipe [cooking].n,approach.n,method.n,procedure.n,technique.n,on.prep,mechanism.n,tactic.n,course of action.n,modus operandi.n,nuts and bolts.n
Accuracy	12	on.prep,inaccuracy.n,precision.n,accurately.adv,inaccurately.adv,true.a,precise.a,accurate.a,exact.a,accuracy.n,off.prep,inaccurate.a
Boundary	4	boundary.n,line.n,border.n,edge.n
Jury_deliberation	2	deliberation.n,deliberate.v
Go_into_shape	5	fold.v,fold [protein].v,curl.v,twist.v,coil.v
Being_wet	16	soaking.a,humid.a,saturated.a,soaked.a,clammy.a,waterlogged.a,sopping.a,damp.a,sodden.a,moistened.a,soggy.a,dewy.a,wet.a,moist.a,drenched.a,sweaty.a
Medical_instruments	19	syringe.n,otoscope.n,fluoroscope.n,speculum.n,blood pressure cuff.n,oscilloscope.n,catheter.n,needle.n,colonoscope.n,endoscope.n,laparoscope.n,gastroscope.n,forceps.n,scalpel.n,ophthalmoscope.n,sigmoidoscope.n,stethoscope.n,cholecystoscope.n,bronchoscope.n
Capacity	6	fit.v,serve.v,seat.v,take.v,sleep.v,feed.v
Usefulness	23	splendid.a,utility.n,perfect.a,value.n,good.a,ideal.a,wonderful.a,superb.a,ineffective.a,great.a,work.v,super.a,strong.a,fine.a,outstanding.a,useful.a,excellent.a,terrific.a,marvellous.a,valuable.a,effective.a,fantastic.a,tremendous.a
Motion	23	drift.v,fly.v,go.v,snake.v,soar.v,swerve.v,weave.v,wind.v,float.v,circle.v,move.v,zigzag.v,blow.v,undulate.v,roll.v,come.v,spiral.v,slide.v,swing.v,coast.v,glide.v,travel.v,meander.v
Chemical_potency	3	strong.a,stiff.a,potent.a
Location_in_time	3	time.n,date.n,day.n
Being_relevant	4	irrelevant.a,pertinent.a,play (into).v,relevant.a
Supporting	3	support.v,buttress.v,bolster.v
Gradable_proximity	5	close.a,distant.a,far.a,proximity.n,near.a
Social_behavior_evaluation	0	
Prohibiting_or_licensing	12	proscribe.v,prohibition.n,allow.v,sanction.v,ban.v,forbid.v,entitle.v,outlaw.v,prohibit.v,bar.v,permit.v,ban.n
Appeal	4	appellant.n,appellate.a,appeal.n,appeal.v
Relation_between_individuals	0	
Explosion	7	blow up.v,detonate.v,blow.v,explode.v,explosion.n,detonation.n,blast.n
Body_description_part	18	fair.a,blonde.n,albino.a,knock-kneed.a,bow-legged.a,black-haired.a,grey-haired.a,redhead.n,cross-eyed.a,flat-footed.a,bearded.a,blue-eyed.a,moustached.a,albino.n,pigtailed.a,red-haired.a,brunette.n,peg-leg.n
Giving_in	10	give way.v,acquiesce.v,relent.v,cave in.v,capitulate.v,fold [to demands].v,cave.v,give in.v,submit.v,yield.v
Sequence	6	sequence.n,succession.n,series.n,order.n,sequential.a,successive.a
Attitude_description	7	hopeless.a,negative.a,hopeful.a,dark.a,positive.a,optimistic.a,pessimistic.a
Pattern	2	pattern.n,formation.n
Level_of_force_resistance	24	frail.a,strong.a,pliable.a,durability.n,strength.n,flexible.a,durable.a,robustness.n,toughness.n,pliability.n,fragility.n,flexibility.n,tough.a,hardy.a,weak.a,sturdy.a,robust.a,hardiness.n,fragile.a,flimsy.a,flimsiness.n,weakness.n,sturdiness.n,impregnable.a
Emotions_by_stimulus	3	joyful.a,jubilant.a,glad.a
Non-commutative_statement	3	quotient.n,minus.prep,difference.n
Releasing	4	release.n,release.v,set free.v,let go.v
Possibility	4	might.v,may.v,could.v,can.v
Military	13	navy.n,naval.a,national guard.n,military.n,armed forces.n,air force.n,militia.n,marines.n,coast guard.n,military.a,force.n,military forces.n,army.n
Launch_process	1	launch.v
Controller_object	6	switchboard.n,switch.n,board.n,button.n,knob.n,control.n
Change_accessibility	6	block off.v,barricade.v,blockade.n,cordon off.v,road-block.n,blockade.v
Execution	11	hang.v,guillotining.n,execute.v,guillotine.v,executioner.n,put to death.v,hanging.n,hangman.n,headsman.n,firing squad.n,execution.n
Emotions	0	
Chaos	6	disorder.n,order.n,riot.n,disarray.n,lawlessness.n,chaos.n
Cause_change_of_consistency	12	thicken.v,curdle.v,congeal.v,thin.v,inspissate.v,jell.v,clot.v,indurate.v,set.v,soften.v,harden.v,coagulate.v
Fighting_activity	6	melee.n,fray.n,donnybrook.n,free-for-all.n,fracas.n,affray.n
Improvement_or_decline	11	ameliorate.v,decline.n,shape up.v,improvement.n,look up.v,deterioration.n,improve.v,deteriorate.v,worsen.v,amelioration.n,decline.v
Negation	6	no.art,without.prep,far.a,never.adv,no longer.adv,not.adv
Cause_to_continue	1	keep.v
Making_arrangements	5	make arrangements.idio,organize.v,put together.v,plan.v,set up.v
Ratification	2	ratification.n,ratify.v
Birth_scenario	0	
Being_awake	4	conscious.a,watch.v,wakeful.a,awake.a
Renting_out	2	rent.v,lease.v
Forgiveness	5	condone.v,excuse.v,forgive.v,forgiveness.n,pardon.v
State_continue	3	stay.v,rest.v,remain.v
Sound_movement	5	reverberate.v,roll.v,blast.v,echo.v,resound.v
Thermodynamic_phase	2	phase.n,state.n
Awareness	28	aware.a,conceive.v,presumption.n,idea.n,conscious.a,understand.v,conception.n,thought.n,know.v,unknown.a,suspect.v,understanding.n,ignorance.n,reckon.v,hunch.n,believe.v,suspicion.n,knowledgeable.a,cognizant.a,imagine.v,comprehend.v,knowledge.n,supposition.n,consciousness.n,presume.v,think.v,awareness.n,comprehension.n
Front_for	3	front.v,front.n,blind.n
Proliferating_in_number	5	proliferation.n,proliferate.v,multiply.v,dwindle.v,non-proliferation.n
Preventing_or_letting	24	stopping.n,frustrate.v,permit.v,keep (from).v,avoid.v,preempt.v,nip in the bud.v,enable.v,avert.v,preemption.n,preemptive.a,forestall.v,prohibit.v,stop.v,let.v,enablement.n,preclude.v,obviate.v,check.v,upset.v,allow.v,prevent.v,stave off.v,prevention.n
Destroying	22	vaporize.v,unmake.v,annihilation.n,lay waste.v,demolish.v,dismantle.v,demolition.n,dismantlement.n,destructive.a,raze.v,blow up.v,level.v,take out.v,destroy.v,obliterate.v,blast.v,obliteration.n,ruin.v,annihilate.v,destruction.n,devastate.v,devastation.n
Tool_purpose	2	function.n,use.n
Dimension	22	circumference.n,wide.a,measure.v,height.n,grand.a,high.a,thick.a,length.n,broad.a,around.adv,level.n,across.adv,breadth.n,work.n,long.a,deep.a,width.n,tall.a,weight.n,area.n,weigh.v,depth.n
Cycle_of_life_and_death	0	
Cause_to_fragment	25	shatter.v,snap.v,break apart.v,smash.v,rip.v,break.v,shred.v,sliver.v,tear up.v,split.v,rip up.v,dissect.v,break down.v,fragment.v,splinter.v,break up.v,cleave.v,dissolve.v,tear.v,take apart.v,rive.v,fracture.v,shiver.v,rend.v,chip.v
Kinship	59	maternal.a,grandmother.n,paternal.a,mother-in-law.n,parental.a,father-in-law.n,filial.a,auntie.n,son-in-law.n,ancestral.a,dad.n,daughter-in-law.n,scion.n,stepson.n,relative.n,kid.n,aunt.n,stepdaughter.n,offspring.n,grandson.n,stepmother.n,clan.n,uncle.n,mother.n,stepfather.n,people.n,niece.n,stepbrother.n,name.n,nephew.n,stepsister.n,kin.n,kinship.n,brother-in-law.n,sister-in-law.n,cousin.n,daddy.n,mom.n,granddaughter.n,great-grandson.n,great-granddaughter.n,parent.n,father.n,child.n,in-law.n,family.n,sibling.n,ancestor.n,descendant.n,daughter.n,forebear.n,son.n,forefather.n,kinsman.n,brother.n,kinsfolk.n,kinswoman.n,sister.n,grandfather.n
Intoxication	14	blotto.a,stoned.a,trip.n,intoxicated.a,pissed.a,blasted.a,inebriated.a,sloshed.a,under the influence (of).prep,sober.a,tipsy.a,wasted.a,drunk.a,high.a
Type	14	sort.n,shade.n,version.n,make.n,breed.n,class.n,race.n,kind.n,type.n,variety.n,ilk.n,form.n,strain.n,brand.n
Visiting_scenario	0	
Perception	0	
Withdraw_from_participation	5	withdraw.v,beg off.v,pull-out.n,withdrawal.n,pull out.v
Redirecting	3	redirect.v,divert.v,detour.v
Being_born	2	born.v,come into the world.v
Proportional_quantity	29	much.art,odd.a,about.prep,thereabouts.adv,circa.prep,or so.adv,precisely.adv,something like.prep,exactly.adv,in vicinity (of).prep,most.art,close (to).a,tops.n,over.prep,little.art,almost.prep,in neighborhood (of).prep,upwards of.prep,approximately.adv,minimum.n,under.prep,barely.adv,at least.adv,around.prep,at most.adv,nearly.adv,a good.a,roughly.adv,some.art
Temporary_group	2	detachment.n,detail.n
Inclination	10	prone.a,sense (of humor).n,of a mind.a,predisposition.n,propensity.n,inclined.a,proclivity.n,penchant.n,predisposed.a,tendency.n
Placing_scenario	0	
Abundance	4	abundant.a,galore.a,abound.v,teem.v
Lodging_scenario	0	
Being_contained_within	0	
Firing	16	sack.v,shitcan.v,terminate.v,fire.v,give the boot.v,let go.v,dismiss.v,lay off.v,lay-off.n,dismissal.n,firing.n,the sack.n,termination.n,discharge.v,downsize.v,can.v
Bail_decision	5	fix.v,bond.n,set.v,order.v,bail.n
Arithmetic_non-commutative	0	
Namesake	2	namesake.n,eponymous.a
Examination	6	examine.v,test.n,examination.n,test.v,exam.n,assessment.n
Importing	4	importation.n,import [entity].n,import [act].n,import.v
Fluidic_motion	28	run.v,spout.v,squirt.v,rush.v,soak.v,course.v,purl.v,dribble.v,spill.v,splash.v,drip.v,spew.v,stream.v,flow.v,seep.v,percolate.v,hiss.v,pump.v,trickle.v,leak.v,gush.v,splatter.v,bubble.v,spray.v,jet.v,ooze.v,cascade.v,spurt.v
Recovery	9	ease.v,recuperation.n,convalesce.v,heal.v,recuperate.v,perk up.v,convalescence.n,recovery.n,recover.v
Being_obligatory	7	behoove.v,incumbent.a,compulsory.a,binding.a,voluntary.a,mandatory.a,obligatory.a
Change_event_time	13	put off.v,hold over.v,defer.v,delay [duration].n,put over.v,move up.v,delay.n,postpone.v,move back.v,hold up.v,reschedule.v,advance.v,delay.v
Research	3	investigate.v,research.v,research.n
Procreative_sex	1	make baby.v
Desiring	53	will.n,desire.n,hunger.n,desirous.a,in the hope of.prep,spoiling.a,thirst.v,crave.v,hunger.v,wants.n,desire.v,urge.n,hanker.v,lust.n,long.v,covetous.a,wish (that).v,yen.n,aspire.v,feel like.v,hope.n,fancy.v,wish.v,dying.a,hankering.n,hope.v,raring.a,thirsty.a,will.v,itch.v,eager.a,desired.a,in hopes of.prep,lust.v,longing.n,want.v,wish.n,aspiration.n,yen.v,impulse.n,interested.a,yearn.v,care.v,craving.n,ache.v,loath.a,reluctant.a,ambition.n,hungry.a,thirst.n,covet.v,pine.v,yearning.n
Cause_fluidic_motion	11	sprinkle.v,spill.v,drip.v,spatter.v,squirt.v,splatter.v,spew.v,splash.v,dribble.v,spray.v,pump.v
Soaking	3	marinate.v,soak.v,steep.v
Using_resource	2	spend.v,use.v
Increment	8	other.a,other.n,further.a,more.n,additional.a,more.a,another.n,another.a
Physical_artworks	14	photograph.n,painting.n,bronze.n,statue.n,statuette.n,sculpture.n,trace.n,diagram.n,image.n,poster.n,tracing.n,drawing.n,photo.n,picture.n
Stage_of_progress	13	advanced.a,generation.n,maturity.n,next generation.a,sophisticated.a,cutting-edge.a,developed.a,low-tech.a,state-of-the-art.a,old-fashioned.a,mature.a,high-tech.a,modern.a
Time_period_of_action	1	window.n
Level_of_force_exertion	11	mighty.a,force.n,powerful.a,powerless.a,strong.a,weak.a,forceful.a,might.n,strength.n,weakness.n,power.n
Attempt	13	undertake.v,endeavor.v,stab.n,endeavor.n,quest.n,try.v,attempt.n,try.n,push.n,attempt.v,shot.n,effort.n,go.n
Counterattack	3	counter-attack.n,counter-offensive.n,counter-attack.v
Cause_to_amalgamate	26	fuse.v,mix.v,pair.v,meld.v,jumble.v,merger.n,blend.v,combination.n,admix.v,throw together.v,combine.v,unite.v,fold.v,consolidate.v,coalesce.v,unify.v,lump.v,merge.v,join.v,intermix.v,amalgamate.v,bring together.v,conflate.v,commingle.v,flux.v,compound.v
Popularity	5	in.a,cool.a,hot.a,popular.a,in demand.a
Guest_and_host	2	host.n,guest.n
Authority	5	sway.n,jurisdiction.n,power.n,dominion.n,authority.n
Adjacency	13	adjacent.a,bordering.a,contiguity.n,border.v,next to.prep,neighbor.n,abut.v,adjoining.a,neighbor.v,adjoin.v,adjacency.n,contiguous.a,neighboring.a
Dominate_situation	5	domination.n,dominant.a,predominate.v,rule.v,dominate.v
Terms_of_agreement	6	condition.n,clause.n,stipulation.n,parameter.n,term.n,provision.n
Contact_image_schema	0	
Catastrophe	21	accident.n,mishap.n,disaster.n,betide.v,suffer.v,apocalypse.n,catastrophic.a,mischance.n,misfortune.n,cataclysm.n,debacle.n,calamitous.a,calamity.n,disastrous.a,befall.v,crisis.n,incident.n,catastrophe.n,tragedy.n,victim.n,casualty.n
First_experience	1	first.adv
Activity_abandoned_state	0	
Beat_opponent	9	upend.v,rout.n,defeat.v,rout.v,demolish.v,beat.v,prevail.v,defeat.n,trounce.v
Substance	26	juice.n,gas.n,metal.n,oil.n,glass.n,paper.n,liquid.n,solid.n,mud.n,plutonium.n,water.n,cement.n,chemical.n,methane.n,calcium.n,iron.n,atropine.n,petroleum.n,oxygen.n,material.n,fertilizer.n,uranium.n,aluminum.n,yellowcake.n,sand.n,ore.n
Communication_manner	24	babble.v,rave.v,shout.v,simper.v,chant.v,sing.v,chatter.v,slur.v,drawl.v,stammer.v,gabble.v,stutter.v,mumble.v,whisper.v,gibber.v,blabber.v,jabber.v,bluster.v,lisp.v,mouth.v,mutter.v,natter.v,prattle.v,rant.v
Visiting_scenario_stay	0	
Bragging	10	rodomontade.v,boast.v,rodomontade.n,gripe.v,braggart.n,brag.v,preen.v,boast.n,boastful.a,vaunt.v
Growing_food	2	raise.v,grow.v
Destiny	13	destiny.n,lot.n,the breaks.n,fate.n,doom.n,kismet.n,in the cards.adv,destined.a,stars.n,predestined.a,fated.a,doomed.a,fortune.n
Being_active	3	actively.adv,inactive.a,active.a
Expertise	73	awful.a,bad.a,wonderful.a,tremendous.a,superb.a,stupendous.a,so-so.a,mediocre.a,incredible.a,great.a,good.a,fantastic.a,excellent.a,dreadful.a,terrible.a,terrific.a,superlative.a,maven.n,outstanding.a,expert.n,splendid.a,expertise.n,know-how.n,expert.a,specialist.n,experience.n,new (to).a,familiar.a,experienced.a,excel.v,master.a,strong.a,mastery.n,layman.n,connoisseur.n,lay.a,pro.n,buff.n,ace.n,versed.a,well-versed.a,conversant.a,conversance.n,crack.a,skilled.a,skilful.a,ace.a,wizard.n,whiz.n,novice.n,inexperienced.a,inexpert.a,guru.n,proficient.a,proficiency.n,prowess.n,virtuoso.n,virtuosity.n,adept.a,adeptness.n,adept.n,skill.n,amateur.n,amateur.a,master.n,incompetent.a,incompetence.n,competent.a,competence.n,inept.a,ineptitude.n,ineptness.n,knowledgeable.a
Path_traveled	4	circuit.n,course.n,path.n,orbit.n
Participation	13	engage.v,concerned.a,embroiled.a,entangled.a,party.n,take part.v,entanglement.n,player.n,involved.a,involvement.n,participant.n,participation.n,participate.v
Defending	7	defenses.n,defense.n,defend.v,defender.n,defensive.a,biodefense.n,hold.v
Process_pause	0	
Short_selling	1	sell short.v
Preference	3	favor.v,disprefer.v,prefer.v
Absorb_heat	25	singe.v,deep fry.v,braise.v,cook.v,coddle.v,sear.v,char.v,boil.v,poach.v,sizzle.v,fry.v,barbecue.v,roast.v,simmer.v,parboil.v,saute.v,scorch.v,steam.v,stew.v,toast.v,grill.v,broil.v,bake.v,brown.v,blanch.v
Reshaping	17	scrunch.v,flatten.v,crumple.v,deformation.n,curl.v,dent.v,form.v,mold.v,shape.v,warp.v,squash.v,launch.v,bend.v,roll.v,squish.v,fold.v,crush.v
Artificiality	14	bogus.a,phoney.a,fake.a,actual.a,counterfeit.a,pseudo.a,artificial.a,phoney.n,real.a,genuine.a,ersatz.a,true.a,disingenuous.a,false.a
Arranging	9	order.v,justify.v,array.v,deploy.v,set up.v,arrangement.n,format.v,arrange.v,deployment.n
Abusing	7	maltreat.v,domestic violence.n,abuse.v,abuse.n,maltreatment.n,batter.v,abusive.a
Be_translation_equivalent	1	translate.v
Change_operational_state	9	boot.v,cut off.v,shut off.v,kill.v,activate.v,turn off.v,turn on.v,cut.v,deactivate.v
Sign_agreement	4	accede.v,signature.n,signatory.n,sign.v
Attributes	0	
Noise_makers	10	siren.n,guitar.n,xylophone.n,drum.n,cello.n,piano.n,bell.n,saxophone.n,alarm.n,rattle.n
Drop_in_on	3	drop in.v,stop in.v,pop in.v
Temporal_pattern	5	beat.n,rhythm.n,rhythmic.a,time.n,rhythmically.adv
Indicating	5	finger.v,indicate.v,point out.idio,name.v,identify.v
Retaining	4	keep.v,hang on to.v,retain.v,hold on to.v
Becoming_detached	4	decouple.v,unhinge.v,detach.v,unhook.v
Coming_to_be	14	arise.v,coalesce.v,appear.v,take shape.v,evolve.v,emerge.v,form.v,come into existence.v,evolution.n,materialize.v,develop.v,spring up.v,come to be.v,development.n
Gesture	8	gesture.v,motion.v,nod.v,beckon.v,signal.v,wave.v,signal.n,gesticulate.v
Visitor_and_host	0	
Citing	6	summons.n,summon.v,notice to appear.n,summons.v,cite.v,citation.n
Criminal_investigation	9	investigate.v,inquire.v,lead.n,case.n,investigation.n,clue.n,inquiry.n,probe.n,probe.v
Colonization	10	colony.n,settlement [entity].n,colonize.v,settle.v,colonist.n,settler.n,populate.v,settlement [act].n,people.v,repopulate.v
Cause_harm	72	cuff.v,fracture.v,gash.v,injure.v,jab.v,bruise.v,knock.v,lash.v,maul.v,pelt.v,strike.v,thwack.v,bash.v,belt.v,kick.v,buffet.v,horsewhip.v,smack.v,claw.v,squash.v,slap.v,knee.v,wound.v,pummel.v,electrocute.v,electrocution.n,poisoning.n,beat up.v,torture.v,flog.v,maim.v,impale.v,break.v,biff.v,batter.v,cane.v,flagellate.v,chop.v,poison.v,whip.v,transfix.v,stone.v,welt.v,spear.v,mutilate.v,stab.v,elbow.v,hurt.v,sting.v,punch.v,swipe.v,knife.v,strike.n,drug.v,twist.v,smash.v,run through.v,butt.v,beat.v,boil.v,hammer.v,bayonet.v,club.v,burn.v,cut.v,hit.v,crush.v,slice.v,bludgeon.v,clout.v,crack.v,cudgel.v
Knot_creation	1	tie.v
Seeking_to_achieve	3	seek.v,pursuit.n,pursue.v
Goal	2	into.prep,to.prep
Collocation_image_schema	0	
Conditional_occurrence	8	if.scon,provided.scon,what if.scon,assuming.scon,supposing.scon,in the event.prep,in case.scon,as long as.scon
Concessive	11	much as.scon,but.c,if.scon,despite.prep,in spite of.prep,although.scon,however.adv,nevertheless.adv,while.scon,though.scon,to be fair.adv
Getting_underway	4	get under way.v,hit the road.v,head out.v,get going.v
Willingness	9	willingness.n,loath.a,grudging.a,down.a,willing.a,unwilling.a,unwillingness.n,prepared.a,reluctant.a
